"","id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations"
"114",66,"John Bardeen","male","1908-05-23","Madison WI USA","1991-01-30","Boston MA USA","Physics",1956,"1/3","","for their researches on semiconductors and their discovery of the transistor effect","University of Illinois; Urbana IL USA"
"115",66,"John Bardeen","male","1908-05-23","Madison WI USA","1991-01-30","Boston MA USA","Physics",1972,"1/3","","for their jointly developed theory of superconductivity usually called the BCS-theory","University of Illinois; Urbana IL USA"
"116",804,"John C. Mather","male","1946-08-07","Roanoke VA USA","","","Physics",2006,"1/2","","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","NASA Goddard Space Flight Center; Greenbelt MD USA"
"117",1013,"John Clauser","male","1942-12-01","Pasadena CA USA","","","Physics",2022,"1/3","","for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science","J.F. Clauser & Assoc.; Walnut Creek CA USA"
"118",56,"John Cockcroft","male","1897-05-27","Todmorden United Kingdom","1967-09-18","Cambridge United Kingdom","Physics",1951,"1/2","","for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles","Atomic Energy Research Establishment; Harwell Berkshire United Kingdom"
"119",109,"John H. Van Vleck","male","1899-03-13","Middletown CT USA","1980-10-27","Cambridge MA USA","Physics",1977,"1/3","","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","Harvard University; Cambridge MA USA"
"120",792,"John L. Hall","male","1934-08-21","Denver CO USA","","","Physics",2005,"1/4","","for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique","University of Colorado JILA; Boulder CO USA; National Institute of Standards and Technology; Boulder CO USA"
"121",144,"Joseph H. Taylor Jr.","male","1941-03-29","Philadelphia PA USA","","","Physics",1993,"1/2","","for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation","Princeton University; Princeton NJ USA"
"122",85,"Julian Schwinger","male","1918-02-12","New York NY USA","1994-07-16","Los Angeles CA USA","Physics",1965,"1/3","","for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles","Harvard University; Cambridge MA USA"
"123",131,"K. Alex Müller","male","1927-04-20","Basel Switzerland","2023-01-09","Zurich Switzerland","Physics",1987,"1/2","","for their important break-through in the discovery of superconductivity in ceramic materials","IBM Zurich Research Laboratory; Rüschlikon Switzerland"
"124",120,"Kai M. Siegbahn","male","1918-04-20","Lund Sweden","2007-07-20","Ängelholm Sweden","Physics",1981,"1/2","","for his contribution to the development of high-resolution electron spectroscopy","Uppsala University; Uppsala Sweden"
"125",121,"Kenneth G. Wilson","male","1936-06-08","Waltham MA USA","2013-06-15","Saco ME USA","Physics",1982,"1","","for his theory for critical phenomena in connection with phase transitions","Cornell University; Ithaca NY USA"
"126",943,"Kip S. Thorne","male","1940-06-01","Logan UT USA","","","Physics",2017,"1/4","","for decisive contributions to the LIGO detector and the observation of gravitational waves","LIGO/VIRGO Collaboration; ; California Institute of Technology (Caltech); Pasadena CA USA"
"127",1000,"Klaus Hasselmann","male","1931-10-25","Hamburg Germany","","","Physics",2021,"1/4","for groundbreaking contributions to our understanding of complex physical systems","for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming","Max Planck Institute for Meteorology; Hamburg Germany"
"128",126,"Klaus von Klitzing","male","1943-06-28","Schroda German-occupied Poland (now Poland)","","","Physics",1985,"1","","for the discovery of the quantized Hall effect","Max-Planck-Institut für Festkörperforschung; Stuttgart Germany"
"129",850,"Konstantin Novoselov","male","1974-08-23","Nizhny Tagil Russia","","","Physics",2010,"1/2","","for groundbreaking experiments regarding the two-dimensional material graphene","University of Manchester; Manchester United Kingdom"
"130",21,"Lawrence Bragg","male","1890-03-31","Adelaide Australia","1971-07-01","Ipswich United Kingdom","Physics",1915,"1/2","","for their services in the analysis of crystal structure by means of X-rays","Victoria University; Manchester United Kingdom"
"131",97,"Leo Esaki","male","1925-03-12","Osaka Japan","","","Physics",1973,"1/4","","for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively","IBM Thomas J. Watson Research Center; Yorktown Heights NY USA"
"132",132,"Leon M. Lederman","male","1922-07-15","New York NY USA","2018-10-03","Rexburg ID USA","Physics",1988,"1/3","","for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino","Fermi National Accelerator Laboratory; Batavia IL USA"
"133",95,"Leon N. Cooper","male","1930-02-28","New York NY USA","","","Physics",1972,"1/3","","for their jointly developed theory of superconductivity usually called the BCS-theory","Brown University; Providence RI USA"
"134",77,"Lev Landau","male","1908-01-22","Baku Russian Empire (now Azerbaijan)","1968-04-01","Moscow USSR (now Russia)","Physics",1962,"1","","for his pioneering theories for condensed matter especially liquid helium","Academy of Sciences; Moscow USSR (now Russia)"
"135",8,"Lord Rayleigh","male","1842-11-12","Langford Grove Maldon Essex United Kingdom","1919-06-30","United Kingdom","Physics",1904,"1","","for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies","Royal Institution of Great Britain; London United Kingdom"
"136",36,"Louis de Broglie","male","1892-08-15","Dieppe France","1987-03-19","Paris France","Physics",1929,"1","","for his discovery of the wave nature of electrons","Sorbonne University Institut Henri Poincaré; Paris France"
"137",92,"Louis Néel","male","1904-11-22","Lyon France","2000-11-17","Brive-Corrèze France","Physics",1970,"1/2","","for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics","University of Grenoble; Grenoble France"
"138",89,"Luis Alvarez","male","1911-06-13","San Francisco CA USA","1988-09-01","Berkeley CA USA","Physics",1968,"1","","for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis","University of California; Berkeley CA USA"
"139",827,"Makoto Kobayashi","male","1944-04-07","Nagoya Japan","","","Physics",2008,"1/4","","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","High Energy Accelerator Research Organization (KEK); Tsukuba Japan"
"140",29,"Manne Siegbahn","male","1886-12-03","Örebro Sweden","1978-09-26","Stockholm Sweden","Physics",1924,"1","","for his discoveries and research in the field of X-ray spectroscopy","Uppsala University; Uppsala Sweden"
"141",79,"Maria Goeppert Mayer","female","1906-06-28","Kattowitz Germany (now Katowice Poland)","1972-02-20","San Diego CA USA","Physics",1963,"1/4","","for their discoveries concerning nuclear shell structure","University of California; San Diego CA USA"
"142",6,"Marie Curie","female","1867-11-07","Warsaw Russian Empire (now Poland)","1934-07-04","Sallanches France","Physics",1903,"1/4","","in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel",""
"143",6,"Marie Curie","female","1867-11-07","Warsaw Russian Empire (now Poland)","1934-07-04","Sallanches France","Chemistry",1911,"1","","in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element","Sorbonne University; Paris France"
"144",147,"Martin L. Perl","male","1927-06-24","New York NY USA","2014-09-30","Palo Alto CA USA","Physics",1995,"1/2","for pioneering experimental contributions to lepton physics","for the discovery of the tau lepton","Stanford University; Stanford CA USA"
"145",100,"Martin Ryle","male","1918-09-27","Brighton United Kingdom","1984-10-14","Cambridge United Kingdom","Physics",1974,"1/2","","for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars","University of Cambridge; Cambridge United Kingdom"
"146",159,"Martinus J.G. Veltman","male","1931-06-27","Waalwijk the Netherlands","2021-01-04","Bilthoven the Netherlands","Physics",1999,"1/2","","for elucidating the quantum structure of electroweak interactions in physics",""
"147",754,"Masatoshi Koshiba","male","1926-09-19","Toyohashi Japan","2020-11-12","Tokyo Japan","Physics",2002,"1/4","","for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos","University of Tokyo; Tokyo Japan"
"148",61,"Max Born","male","1882-12-11","Breslau Germany (now Wroclaw Poland)","1970-01-05","Göttingen West Germany (now Germany)","Physics",1954,"1/2","","for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction","Edinburgh University; Edinburgh United Kingdom"
"149",23,"Max Planck","male","1858-04-23","Kiel Schleswig (now Germany)","1947-10-04","Göttingen West Germany (now Germany)","Physics",1918,"1","","in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta","Berlin University; Berlin Germany"
"150",19,"Max von Laue","male","1879-10-09","Pfaffendorf Germany","1960-04-23","Berlin West Germany (now Germany)","Physics",1914,"1","","for his discovery of the diffraction of X-rays by crystals","Frankfurt-on-the-Main University; Frankfurt-on-the-Main Germany"
"151",133,"Melvin Schwartz","male","1932-11-02","New York NY USA","2006-08-28","Twin Falls ID USA","Physics",1988,"1/3","","for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino","Digital Pathways Inc.; Mountain View CA USA"
"152",974,"Michel Mayor","male","1942-01-12","Lausanne Switzerland","","","Physics",2019,"1/4","for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos","for the discovery of an exoplanet orbiting a solar-type star","University of Geneva; Geneva Switzerland"
"153",90,"Murray Gell-Mann","male","1929-09-15","New York NY USA","2019-05-24","Santa Fe NM USA","Physics",1969,"1","","for his contributions and discoveries concerning the classification of elementary particles and their interactions","California Institute of Technology (Caltech); Pasadena CA USA"
"154",118,"Nicolaas Bloembergen","male","1920-03-11","Dordrecht the Netherlands","2017-09-05","Tucson AZ USA","Physics",1981,"1/4","","for their contribution to the development of laser spectroscopy","Harvard University; Cambridge MA USA"
"155",82,"Nicolay G. Basov","male","1922-12-14","Usman USSR (now Russia)","2001-07-01","Moscow Russia","Physics",1964,"1/4","","for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle","P.N. Lebedev Physical Institute; Moscow USSR (now Russia)"
"156",27,"Niels Bohr","male","1885-10-07","Copenhagen Denmark","1962-11-18","Copenhagen Denmark","Physics",1922,"1","","for his services in the investigation of the structure of atoms and of the radiation emanating from them","Copenhagen University; Copenhagen Denmark"
"157",135,"Norman F. Ramsey","male","1915-08-27","Washington D.C. USA","2011-11-04","Wayland MA USA","Physics",1989,"1/2","","for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks","Harvard University; Cambridge MA USA"
"158",48,"Otto Stern","male","1888-02-17","Sorau Germany (now Zory Poland)","1969-08-17","Berkeley CA USA","Physics",1943,"1","","for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton","Carnegie Institute of Technology; Pittsburgh PA USA"
"159",73,"Owen Chamberlain","male","1920-07-10","San Francisco CA USA","2006-02-28","Berkeley CA USA","Physics",1959,"1/2","","for their discovery of the antiproton","University of California; Berkeley CA USA"
"160",35,"Owen Willans Richardson","male","1879-04-26","Dewsbury United Kingdom","1959-02-15","Alton United Kingdom","Physics",1928,"1","","for his work on the thermionic phenomenon and especially for the discovery of the law named after him","London University; London United Kingdom"
"161",53,"Patrick M.S. Blackett","male","1897-11-18","London United Kingdom","1974-07-13","London United Kingdom","Physics",1948,"1","","for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation","Victoria University; Manchester United Kingdom"
"162",40,"Paul A.M. Dirac","male","1902-08-08","Bristol United Kingdom","1984-10-20","Tallahassee FL USA","Physics",1933,"1/2","","for the discovery of new productive forms of atomic theory","University of Cambridge; Cambridge United Kingdom"
"163",70,"Pavel A. Cherenkov","male","1904-07-28","Novaya Chigla Russia","1990-01-06","USSR (now Russia)","Physics",1958,"1/3","","for the discovery and the interpretation of the Cherenkov effect","P.N. Lebedev Physical Institute; Moscow USSR (now Russia)"
"164",51,"Percy W. Bridgman","male","1882-04-21","Cambridge MA USA","1961-08-20","Randolph NH USA","Physics",1946,"1","","for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics","Harvard University; Cambridge MA USA"
"165",815,"Peter Grünberg","male","1939-05-18","Plzen Czechoslovakia (now Czech Republic)","2018-04-09","Jülich Germany","Physics",2007,"1/2","","for the discovery of Giant Magnetoresistance","Forschungszentrum J&uuml;lich; Jülich Germany"
"166",888,"Peter Higgs","male","1929-05-29","Newcastle upon Tyne United Kingdom","2024-04-08","Edinburgh Scotland","Physics",2013,"1/2","","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider","University of Edinburgh; Edinburgh United Kingdom"
"167",107,"Philip W. Anderson","male","1923-12-13","Indianapolis IN USA","2020-03-29","Princeton NJ USA","Physics",1977,"1/3","","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","Bell Telephone Laboratories; Murray Hill NJ USA"
"168",9,"Philipp Lenard","male","1862-06-07","Pressburg Hungary (now Bratislava Slovakia)","1947-05-20","Messelhausen Germany","Physics",1905,"1","","for his work on cathode rays","Kiel University; Kiel Germany"
"169",1026,"Pierre Agostini","male","1941-07-23","Tunis French protectorate of Tunisia (now Tunisia)","","","Physics",2023,"1/3","","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","The Ohio State University; Columbus OH USA"
"170",5,"Pierre Curie","male","1859-05-15","Paris France","1906-04-19","Paris France","Physics",1903,"1/4","","in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel","École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry); Paris France"
"171",141,"Pierre-Gilles de Gennes","male","1932-10-24","Paris France","2007-05-18","Orsay France","Physics",1991,"1","","for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers","Collège de France; Paris France"
"172",3,"Pieter Zeeman","male","1865-05-25","Zonnemaire the Netherlands","1943-10-09","Amsterdam the Netherlands","Physics",1902,"1/2","","in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena","Amsterdam University; Amsterdam the Netherlands"
"173",64,"Polykarp Kusch","male","1911-01-26","Blankenburg Germany","1993-03-20","Dallas TX USA","Physics",1955,"1/2","","for his precision determination of the magnetic moment of the electron","Columbia University; New York NY USA"
"174",110,"Pyotr Kapitsa","male","1894-07-09","Kronshtadt Russian Empire (now Russia)","1984-04-08","Moscow USSR (now Russia)","Physics",1978,"1/2","","for his basic inventions and discoveries in the area of low-temperature physics","Academy of Sciences; Moscow USSR (now Russia)"
"175",941,"Rainer Weiss","male","1932-09-29","Berlin Germany","","","Physics",2017,"1/2","","for decisive contributions to the LIGO detector and the observation of gravitational waves","LIGO/VIRGO Collaboration; ; Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"176",753,"Raymond Davis Jr.","male","1914-10-14","Washington D.C. USA","2006-05-31","Blue Point NY USA","Physics",2002,"1/4","","for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos","University of Pennsylvania; Philadelphia PA USA"
"177",989,"Reinhard Genzel","male","1952-03-24","Bad Homburg vor der Höhe Germany","","","Physics",2020,"1/4","","for the discovery of a supermassive compact object at the centre of our galaxy","Max Planck Institute for Extraterrestrial Physics; Garching Germany; University of California; Berkeley CA USA"
"178",755,"Riccardo Giacconi","male","1931-10-06","Genoa Italy","2018-12-16","La Jolla CA USA","Physics",2002,"1/2","","for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources","Associated Universities Inc.; Washington D.C. USA"
"179",140,"Richard E. Taylor","male","1929-11-02","Medicine Hat Alberta Canada","2018-02-22","Stanford CA USA","Physics",1990,"1/3","","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics","Stanford University; Stanford CA USA"
"180",86,"Richard P. Feynman","male","1918-05-11","New York NY USA","1988-02-15","Los Angeles CA USA","Physics",1965,"1/3","","for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles","California Institute of Technology (Caltech); Pasadena CA USA"
"181",28,"Robert A. Millikan","male","1868-03-22","Morrison IL USA","1953-12-19","San Marino CA USA","Physics",1923,"1","","for his work on the elementary charge of electricity and on the photoelectric effect","California Institute of Technology (Caltech); Pasadena CA USA"
"182",155,"Robert B. Laughlin","male","1950-11-01","Visalia CA USA","","","Physics",1998,"1/3","","for their discovery of a new form of quantum fluid with fractionally charged excitations","Stanford University; Stanford CA USA"
"183",151,"Robert C. Richardson","male","1937-06-26","Washington D.C. USA","2013-02-19","Ithaca NY USA","Physics",1996,"1/3","","for their discovery of superfluidity in helium-3","Cornell University; Ithaca NY USA"
"184",75,"Robert Hofstadter","male","1915-02-05","New York NY USA","1990-11-17","Stanford CA USA","Physics",1961,"1/2","","for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons","Stanford University; Stanford CA USA"
"185",96,"Robert Schrieffer","male","1931-05-31","Oak Park IL USA","2019-07-27","Tallahassee FL USA","Physics",1972,"1/3","","for their jointly developed theory of superconductivity usually called the BCS-theory","University of Pennsylvania; Philadelphia PA USA"
"186",112,"Robert Woodrow Wilson","male","1936-01-10","Houston TX USA","","","Physics",1978,"1/4","","for their discovery of cosmic microwave background radiation","Bell Laboratories; Holmdel NJ USA"
"187",988,"Roger Penrose","male","1931-08-08","Colchester United Kingdom","","","Physics",2020,"1/2","","for the discovery that black hole formation is a robust prediction of the general theory of relativity","University of Oxford; Oxford United Kingdom"
"188",791,"Roy J. Glauber","male","1925-09-01","New York NY USA","2018-12-26","Newton MA USA","Physics",2005,"1/2","","for his contribution to the quantum theory of optical coherence","Harvard University; Cambridge MA USA"
"189",76,"Rudolf Mössbauer","male","1929-01-31","Munich Germany","2011-09-14","","Physics",1961,"1/2","","for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name","Technical University; Munich Germany; California Institute of Technology (Caltech); Pasadena CA USA"
"190",143,"Russell A. Hulse","male","1950-11-28","New York NY USA","","","Physics",1993,"1/2","","for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation","Princeton University; Princeton NJ USA"
"191",106,"Samuel C.C. Ting","male","1936-01-27","Ann Arbor MI USA","","","Physics",1976,"1/2","","for their pioneering work in the discovery of a heavy elementary particle of a new kind","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"192",864,"Saul Perlmutter","male","1959-00-00","Champaign-Urbana IL USA","","","Physics",2011,"1/2","","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","Lawrence Berkeley National Laboratory; Berkeley CA USA; University of California; Berkeley CA USA"
"193",876,"Serge Haroche","male","1944-09-11","Casablanca Morocco","","","Physics",2012,"1/2","","for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems","Collège de France; Paris France; École Normale Supérieure; Paris France"
"194",113,"Sheldon Glashow","male","1932-12-05","New York NY USA","","","Physics",1979,"1/3","","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current","Harvard University Lyman Laboratory; Cambridge MA USA"
"195",908,"Shuji Nakamura","male","1954-05-22","Ikata Japan","","","Physics",2014,"1/3","","for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources","University of California; Santa Barbara CA USA"
"196",125,"Simon van der Meer","male","1925-11-24","the Hague the Netherlands","2011-03-04","Geneva Switzerland","Physics",1984,"1/2","","for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction","CERN; Geneva Switzerland"
"197",84,"Sin-Itiro Tomonaga","male","1906-03-31","Kyoto Japan","1979-07-08","Tokyo Japan","Physics",1965,"1/3","","for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles","Tokyo University of Education; Tokyo Japan"
"198",37,"Sir Chandrasekhara Venkata Raman","male","1888-11-07","Tiruchirappalli India","1970-11-21","Bangalore India","Physics",1930,"1","","for his work on the scattering of light and for the discovery of the effect named after him","Calcutta University; Calcutta India"
"199",108,"Sir Nevill F. Mott","male","1905-09-30","Leeds United Kingdom","1996-08-08","Milton Keynes United Kingdom","Physics",1977,"1/3","","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","University of Cambridge; Cambridge United Kingdom"
"200",152,"Steven Chu","male","1948-02-28","St. Louis MO USA","","","Physics",1997,"1/3","","for development of methods to cool and trap atoms with laser light","Stanford University; Stanford CA USA"
"201",115,"Steven Weinberg","male","1933-05-03","New York NY USA","2021-07-23","Austin TX USA","Physics",1979,"1/3","","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current","Harvard University; Cambridge MA USA"
"202",122,"Subrahmanyan Chandrasekhar","male","1910-10-19","Lahore India (now Pakistan)","1995-08-21","Chicago IL USA","Physics",1983,"1/2","","for his theoretical studies of the physical processes of importance to the structure and evolution of the stars","University of Chicago; Chicago IL USA"
"203",999,"Syukuro Manabe","male","1931-09-21","Shingu Ehime Japan","","","Physics",2021,"1/4","for groundbreaking contributions to our understanding of complex physical systems","for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming","Princeton University; Princeton NJ USA"
"204",919,"Takaaki Kajita","male","1959-03-09","Higashimatsuyama Japan","","","Physics",2015,"1/2","","for the discovery of neutrino oscillations which shows that neutrinos have mass","University of Tokyo; Kashiwa Japan"
"205",793,"Theodor W. Hänsch","male","1941-10-30","Heidelberg Germany","","","Physics",2005,"1/4","","for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique","Max Planck Institute of Quantum Optics; Garching Germany; Ludwig-Maximilians-Universität München; Munich Germany"
"206",828,"Toshihide Maskawa","male","1940-02-07","Nagoya Japan","2021-07-23","Kyoto Japan","Physics",2008,"1/4","","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","Kyoto Sangyo University; Kyoto Japan; Yukawa Institute for Theoretical Physics (YITP) Kyoto University; Kyoto Japan"
"207",69,"Tsung-Dao Lee","male","1926-11-24","Shanghai China","","","Physics",1957,"1/2","","for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles","Columbia University; New York NY USA"
"208",117,"Val Fitch","male","1923-03-10","Merriman NE USA","2015-02-05","Princeton NJ USA","Physics",1980,"1/2","","for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons","Princeton University; Princeton NJ USA"
"209",42,"Victor F. Hess","male","1883-06-24","Peggau Austria","1964-12-17","Mount Vernon NY USA","Physics",1936,"1/2","","for his discovery of cosmic radiation","Innsbruck University; Innsbruck Austria"
"210",767,"Vitaly L. Ginzburg","male","1916-10-04","Moscow Russia","2009-11-08","","Physics",2003,"1/3","","for pioneering contributions to the theory of superconductors and superfluids","P.N. Lebedev Physical Institute; Moscow Russia"
"211",67,"Walter H. Brattain","male","1902-02-10","Amoy China","1987-10-13","Seattle WA USA","Physics",1956,"1/3","","for their researches on semiconductors and their discovery of the transistor effect","Bell Telephone Laboratories; Murray Hill NJ USA"
"212",62,"Walther Bothe","male","1891-01-08","Oranienburg Germany","1957-02-08","Heidelberg West Germany (now Germany)","Physics",1954,"1/2","","for the coincidence method and his discoveries made therewith","University of Heidelberg; Heidelberg Germany; Max-Planck-Institut für medizinische Forschung; Heidelberg Germany"
"213",38,"Werner Heisenberg","male","1901-12-05","Würzburg Germany","1976-02-01","Munich West Germany (now Germany)","Physics",1932,"1","","for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen","Leipzig University; Leipzig Germany"
"214",1,"Wilhelm Conrad Röntgen","male","1845-03-27","Lennep Prussia (now Remscheid Germany)","1923-02-10","Munich Germany","Physics",1901,"1","","in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him","Munich University; Munich Germany"
"215",16,"Wilhelm Wien","male","1864-01-13","Gaffken Prussia (now Parusnoye Russia)","1928-08-30","Munich Germany","Physics",1911,"1","","for his discoveries regarding the laws governing the radiation of heat","Würzburg University; Würzburg Germany"
"216",839,"Willard S. Boyle","male","1924-08-19","Amherst NS Canada","2011-05-07","Truro NS Canada","Physics",2009,"1/4","","for the invention of an imaging semiconductor circuit - the CCD sensor","Bell Laboratories; Murray Hill NJ USA"
"217",123,"William A. Fowler","male","1911-08-09","Pittsburgh PA USA","1995-03-14","Pasadena CA USA","Physics",1983,"1/2","","for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe","California Institute of Technology (Caltech); Pasadena CA USA"
"218",65,"William B. Shockley","male","1910-02-13","London United Kingdom","1989-08-12","Palo Alto CA USA","Physics",1956,"1/3","","for their researches on semiconductors and their discovery of the transistor effect","Semiconductor Laboratory of Beckman Instruments Inc.; Mountain View CA USA"
"219",20,"William Bragg","male","1862-07-02","Wigton United Kingdom","1942-03-12","London United Kingdom","Physics",1915,"1/2","","for their services in the analysis of crystal structure by means of X-rays","University College; London United Kingdom"
"220",154,"William D. Phillips","male","1948-11-05","Wilkes-Barre PA USA","","","Physics",1997,"1/3","","for development of methods to cool and trap atoms with laser light","National Institute of Standards and Technology; Gaithersburg MD USA"
"221",63,"Willis E. Lamb","male","1913-07-12","Los Angeles CA USA","2008-05-15","Tucson AZ USA","Physics",1955,"1/2","","for his discoveries concerning the fine structure of the hydrogen spectrum","Stanford University; Stanford CA USA"
"222",739,"Wolfgang Ketterle","male","1957-10-21","Heidelberg West Germany (now Germany)","","","Physics",2001,"1/3","","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
"223",137,"Wolfgang Paul","male","1913-08-10","Lorenzkirch Germany","1993-12-07","Bonn Germany","Physics",1989,"1/4","","for the development of the ion trap technique","University of Bonn; Bonn Germany"
"224",50,"Wolfgang Pauli","male","1900-04-25","Vienna Austria","1958-12-15","Zurich Switzerland","Physics",1945,"1","","for the discovery of the Exclusion Principle also called the Pauli Principle","Princeton University; Princeton NJ USA"
"225",826,"Yoichiro Nambu","male","1921-01-18","Tokyo Japan","2015-07-05","Osaka Japan","Physics",2008,"1/2","","for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics","Enrico Fermi Institute University of Chicago; Chicago IL USA"
"226",726,"Zhores Alferov","male","1930-03-15","Vitebsk Belorussia USSR (now Belarus)","2019-03-01","St. Petersburg Russia","Physics",2000,"1/4","for basic work on information and communication technology","for developing semiconductor heterostructures used in high-speed- and opto-electronics","A.F. Ioffe Physico-Technical Institute; St. Petersburg Russia"
